DATE;CMIG4;SUZB3
06/05/2021 17:30;11.98;67.5
06/05/2021 14:00;11.99;67.46
06/05/2021 10:00;11.99;67.29
05/05/2021 17:30;12.11;67.72
05/05/2021 14:00;12.1;67.67
05/05/2021 10:00;12.08;67.71
04/05/2021 17:30;11.96;67.53
04/05/2021 14:00;11.95;67.61
04/05/2021 10:00;12.01;67.76
03/05/2021 17:30;12.08;67.52
03/05/2021 14:00;12.1;67.7
03/05/2021 10:00;12.21;67.39
30/04/2021 17:30;13.98;68.6
30/04/2021 14:00;13.84;68.67
30/04/2021 10:00;13.86;69.04
29/04/2021 17:30;14.03;67.7
29/04/2021 14:00;14.03;67.64
29/04/2021 10:00;13.99;68.8
28/04/2021 17:30;14.13;67.87
28/04/2021 14:00;14.11;67.54
28/04/2021 10:00;13.82;68.83
27/04/2021 17:30;13.36;70.37
27/04/2021 14:00;13.33;70.87
27/04/2021 10:00;13.52;70.42
26/04/2021 17:30;13.45;69.15
26/04/2021 14:00;13.45;69.36
26/04/2021 10:00;13.36;69.43
23/04/2021 17:30;13.51;70.25
23/04/2021 14:00;13.5;70.05
23/04/2021 10:00;13.42;69.61
22/04/2021 17:30;13.48;69.53
22/04/2021 14:00;13.45;69.55
22/04/2021 10:00;13.58;70.18
20/04/2021 17:30;13.47;72.07
20/04/2021 14:00;13.5;72.29
20/04/2021 10:00;13.47;72.52
19/04/2021 17:30;12.96;72.01
19/04/2021 14:00;13.00;72.1
19/04/2021 10:00;12.87;72.8
16/04/2021 17:30;12.9;71.1
16/04/2021 14:00;12.9;71.12
16/04/2021 10:00;12.81;71.96
15/04/2021 17:30;12.81;72.11
15/04/2021 14:00;12.83;72.1
15/04/2021 10:00;12.87;72.42
14/04/2021 17:30;12.95;71.35
14/04/2021 14:00;12.94;71.35
14/04/2021 10:00;12.92;71.48
13/04/2021 17:30;12.85;72.28
13/04/2021 14:00;12.82;72.4
13/04/2021 10:00;12.79;72.68
12/04/2021 17:30;12.66;71.72
12/04/2021 14:00;12.63;72.00
12/04/2021 10:00;12.62;72.26
09/04/2021 17:30;12.64;71.35
09/04/2021 14:00;12.58;71.38
09/04/2021 10:00;12.73;71.77
08/04/2021 17:30;12.66;70.28
08/04/2021 14:00;12.7;70.43
08/04/2021 10:00;12.73;70.31
07/04/2021 17:30;12.74;69.93
07/04/2021 14:00;12.69;69.85
07/04/2021 10:00;12.88;69.89
06/04/2021 17:30;12.68;70.39
06/04/2021 14:00;12.67;70.25
06/04/2021 10:00;12.66;70.16
